topic,category,rank,paper_key,short_citation,title,authors,year,venue,paper_type,role_in_topic,source_or_lookup_url,confidence,notes
cluster inference,inference,2,NicholsHolmes_2002,Nichols & Holmes (2002),Nonparametric permutation tests for functional neuroimaging: a primer with examples,Nichols & Holmes,2002,Human Brain Mapping,statistical inference / permutation,"pipeline, benchmark, or second anchor",https://doi.org/10.1002/hbm.1058,high,
cluster inference,inference,3,TFCE_2009,Smith & Nichols (2009),"Threshold-free cluster enhancement: addressing problems of smoothing, threshold dependence and localisation in cluster inference",Smith & Nichols,2009,NeuroImage,statistical inference / multiple comparisons,"validation, caveat, or task template",https://doi.org/10.1016/j.neuroimage.2008.03.061,high,
cluster inference,inference,4,SPM_1994,Friston et al. (1994),Statistical parametric maps in functional imaging: A general linear approach,Friston et al.,1994,Human Brain Mapping,statistical modeling / GLM,robustness / evaluation / cross-topic bridge,https://doi.org/10.1002/hbm.460020402,high,
cluster inference,inference,5,COBIDAS_MRI_2017,Nichols et al. / OHBM COBIDAS (2017),Best practices in data analysis and sharing in neuroimaging using MRI,Nichols et al. / OHBM COBIDAS,2017,COBIDAS report / Nature Neuroscience related guidance,reporting / reproducibility guideline,additional pipeline/dataset/reference,https://www.humanbrainmapping.org/files/2016/COBIDASreport.pdf,medium,
cluster inference,inference,6,Andreella_2024,Andreella et al. (2024),"Selective inference for fMRI cluster-wise analysis, issues, and recommendations for critical vector selection: A comment on Blain et al.",Andreella et al.,2024,Imaging Neuroscience,modern method/tool (2020+),recent method/development (2020+),https://doi.org/10.1162/imag_a_00198,medium,auto 2020+; verify
connectome-based predictive modeling,inference,1,Finn_2015,Finn et al. (2015),Functional connectome fingerprinting: identifying individuals using patterns of brain connectivity,Finn et al.,2015,Nature Neuroscience,connectome fingerprinting,primary anchor / canonical method or dataset,https://doi.org/10.1038/nn.4135,high,
connectome-based predictive modeling,inference,2,Rosenberg_2016,Rosenberg et al. (2016),A neuromarker of sustained attention from whole-brain functional connectivity,Rosenberg et al.,2016,Nature Neuroscience,predictive connectomics / attention,"pipeline, benchmark, or second anchor",https://doi.org/10.1038/nn.4179,high,
connectome-based predictive modeling,inference,3,Shen_CPM_2017,Shen et al. (2017),Using connectome-based predictive modeling to predict individual behavior from brain connectivity,Shen et al.,2017,Nature Protocols,predictive modeling protocol,"validation, caveat, or task template",https://doi.org/10.1038/nprot.2016.178,high,
connectome-based predictive modeling,inference,4,Dadi_2019,Dadi et al. (2019),Benchmarking functional connectome-based predictive models for resting-state fMRI,Dadi et al.,2019,NeuroImage,benchmark / predictive connectomics,robustness / evaluation / cross-topic bridge,https://doi.org/10.1016/j.neuroimage.2019.02.062,high,
connectome-based predictive modeling,inference,5,Varoquaux_CV_2018,Varoquaux (2018),Cross-validation failure: small sample sizes lead to large error bars,Varoquaux,2018,NeuroImage,ML validation / sample size,additional pipeline/dataset/reference,https://doi.org/10.1016/j.neuroimage.2017.06.061,medium,
connectome-based predictive modeling,inference,6,Ren_2020_2,Ren et al. (2020),Connectome-Based Predictive Modeling of Creativity Anxiety,Ren et al.,2020,NeuroImage,modern method/tool (2020+),recent method/development (2020+),https://doi.org/10.1016/j.neuroimage.2020.117469,medium,auto 2020+; verify
connectome-based predictive modeling,inference,7,Gao_2020,Gao et al. (2020),Connectome-based models can predict processing speed in older adults,Gao et al.,2020,NeuroImage,modern method/tool (2020+),recent method/development (2020+),https://doi.org/10.1016/j.neuroimage.2020.117290,medium,auto 2020+; verify
connectome-based predictive modeling,inference,8,Anderson_2022,Anderson et al. (2022),Investigating cognitive neuroscience theories of human intelligence: A connectome‐based predictive modeling approach,Anderson et al.,2022,Human Brain Mapping,modern method/tool (2020+),recent method/development (2020+),https://doi.org/10.1002/hbm.26164,medium,auto 2020+; verify
convolutional neural network,inference,1,Haxby_MVPA_2001,Haxby et al. (2001),Distributed and overlapping representations of faces and objects in ventral temporal cortex,Haxby et al.,2001,Science,MVPA / perception,primary anchor / canonical method or dataset,https://doi.org/10.1126/science.1063736,high,
convolutional neural network,inference,2,Abraham_Nilearn_2014,Abraham et al. (2014),Machine learning for neuroimaging with scikit-learn,Abraham et al.,2014,Frontiers in Neuroinformatics,software / ML pipeline,"pipeline, benchmark, or second anchor",https://doi.org/10.3389/fninf.2014.00014,high,
convolutional neural network,inference,3,Varoquaux_CV_2018,Varoquaux (2018),Cross-validation failure: small sample sizes lead to large error bars,Varoquaux,2018,NeuroImage,ML validation / sample size,"validation, caveat, or task template",https://doi.org/10.1016/j.neuroimage.2017.06.061,high,
convolutional neural network,inference,4,Haufe_2014,Haufe et al. (2014),On the interpretation of weight vectors of linear models in multivariate neuroimaging,Haufe et al.,2014,NeuroImage,model interpretability,robustness / evaluation / cross-topic bridge,https://doi.org/10.1016/j.neuroimage.2013.10.067,high,
convolutional neural network,inference,5,Heinsfeld_ABIDE_2018,Heinsfeld et al. (2018),Identification of autism spectrum disorder using deep learning and the ABIDE dataset,Heinsfeld et al.,2018,NeuroImage: Clinical,deep learning / autism,additional pipeline/dataset/reference,https://doi.org/10.1016/j.nicl.2017.08.017,medium,
convolutional neural network,inference,6,Zhao_2021,Zhao et al. (2021),A dynamic graph convolutional neural network framework reveals new insights into connectome dysfunctions in ADHD,Zhao et al.,2021,NeuroImage,modern method/tool (2020+),recent method/development (2020+),https://doi.org/10.1016/j.neuroimage.2021.118774,medium,auto 2020+; verify
convolutional neural network,inference,7,Tomita_2020,Tomita et al. (2020),Automatic post-stroke lesion segmentation on MR images using 3D residual convolutional neural network,Tomita et al.,2020,NeuroImage Clinical,modern method/tool (2020+),recent method/development (2020+),https://doi.org/10.1016/j.nicl.2020.102276,medium,auto 2020+; verify
convolutional neural network,inference,8,Boutinaud_2021,Boutinaud et al. (2021),3D Segmentation of Perivascular Spaces on T1-Weighted 3 Tesla MR Images With a Convolutional Autoencoder and a U-Shaped Neural Network,Boutinaud et al.,2021,Frontiers in Neuroinformatics,modern method/tool (2020+),recent method/development (2020+),https://doi.org/10.3389/fninf.2021.641600,medium,auto 2020+; verify
cortical parcellation,organization,1,Yeo_2011,Yeo et al. (2011),The organization of the human cerebral cortex estimated by intrinsic functional connectivity,Yeo et al.,2011,Journal of Neurophysiology,network atlas / parcellation,primary anchor / canonical method or dataset,https://doi.org/10.1152/jn.00338.2011,high,
cortical parcellation,organization,2,Power_2011,Power et al. (2011),Functional network organization of the human brain,Power et al.,2011,Neuron,network atlas / graph construction,"pipeline, benchmark, or second anchor",https://doi.org/10.1016/j.neuron.2011.09.006,high,
cortical parcellation,organization,3,Schaefer_2018,Schaefer et al. (2018),Local-global parcellation of the human cerebral cortex from intrinsic functional connectivity MRI,Schaefer et al.,2018,Cerebral Cortex,cortical parcellation,"validation, caveat, or task template",https://doi.org/10.1093/cercor/bhx179,high,
cortical parcellation,organization,4,Glasser_2016,Glasser et al. (2016),A multi-modal parcellation of human cerebral cortex,Glasser et al.,2016,Nature,multimodal atlas / parcellation,robustness / evaluation / cross-topic bridge,https://doi.org/10.1038/nature18933,high,
cortical parcellation,organization,5,Dale_Surface_1999,Dale et al. (1999),Cortical surface-based analysis I: Segmentation and surface reconstruction,Dale et al.,1999,NeuroImage,surface reconstruction,additional pipeline/dataset/reference,https://doi.org/10.1006/nimg.1998.0395,medium,
cortical parcellation,organization,6,Rebsamen_2020,Rebsamen et al. (2020),Direct cortical thickness estimation using deep learning‐based anatomy segmentation and cortex parcellation,Rebsamen et al.,2020,Human Brain Mapping,modern method/tool (2020+),recent method/development (2020+),https://doi.org/10.1002/hbm.25159,medium,auto 2020+; verify
cortical parcellation,organization,7,LpezLpez_2020,LpezLpez et al. (2020),From Coarse to Fine-Grained Parcellation of the Cortical Surface Using a Fiber-Bundle Atlas,LpezLpez et al.,2020,Frontiers in Neuroinformatics,modern method/tool (2020+),recent method/development (2020+),https://doi.org/10.3389/fninf.2020.00032,medium,auto 2020+; verify
cortical parcellation,organization,8,Lewis_2021,Lewis et al. (2021),A sub+cortical fMRI‐based surface parcellation,Lewis et al.,2021,Human Brain Mapping,modern method/tool (2020+),recent method/development (2020+),https://doi.org/10.1002/hbm.25675,medium,auto 2020+; verify
cortical parcellation,organization,9,Wael_2020,Wael et al. (2020),BrainSpace: a toolbox for the analysis of macroscale gradients in neuroimaging and connectomics datasets,Wael et al.,2020,Communications Biology,modern method/tool (2020+),"modern method/tool (2020+, named)",https://doi.org/10.1038/s42003-020-0794-7,medium,auto 2020+; verify
cortical thickness,organization,1,Dale_Surface_1999,Dale et al. (1999),Cortical surface-based analysis I: Segmentation and surface reconstruction,Dale et al.,1999,NeuroImage,surface reconstruction,primary anchor / canonical method or dataset,https://doi.org/10.1006/nimg.1998.0395,high,
cortical thickness,organization,2,Fischl_FreeSurfer_2012,Fischl (2012),FreeSurfer,Fischl,2012,NeuroImage,software suite / anatomical pipeline,"pipeline, benchmark, or second anchor",https://doi.org/10.1016/j.neuroimage.2012.01.021,high,
cortical thickness,organization,3,Fortin_ComBat_Cortical_2018,Fortin et al. (2018),Harmonization of cortical thickness measurements across scanners and sites,Fortin et al.,2018,NeuroImage,harmonization / ComBat,"validation, caveat, or task template",https://doi.org/10.1016/j.neuroimage.2017.11.024,high,
cortical thickness,organization,4,Bethlehem_BrainCharts_2022,Bethlehem et al. (2022),Brain charts for the human lifespan,Bethlehem et al.,2022,Nature,normative lifespan modeling,robustness / evaluation / cross-topic bridge,https://doi.org/10.1038/s41586-022-04554-y,high,
cortical thickness,organization,5,Thompson_ENIGMA_2014,Thompson et al. (2014),The ENIGMA Consortium: large-scale collaborative analyses of neuroimaging and genetic data,Thompson et al.,2014,Brain Imaging and Behavior,consortium / harmonized analysis,additional pipeline/dataset/reference,https://doi.org/10.1007/s11682-013-9269-5,medium,
cortical thickness,organization,6,Sele_2021,Sele et al. (2021),"Age-related decline in the brain: a longitudinal study on inter-individual variability of cortical thickness, area, volume, and cognition.",Sele et al.,2021,NeuroImage,modern method/tool (2020+),recent method/development (2020+),https://doi.org/10.1016/j.neuroimage.2021.118370,medium,auto 2020+; verify
data sharing,inference,1,OpenNeuro_2021,Markiewicz et al. (2021),The OpenNeuro resource for sharing of neuroscience data,Markiewicz et al.,2021,eLife,data repository / BIDS,primary anchor / canonical method or dataset,https://doi.org/10.7554/eLife.71774,high,
data sharing,inference,2,BIDS_2016,Gorgolewski et al. (2016),"The Brain Imaging Data Structure, a format for organizing and describing outputs of neuroimaging experiments",Gorgolewski et al.,2016,Scientific Data,standard / data organization,"pipeline, benchmark, or second anchor",https://doi.org/10.1038/sdata.2016.44,high,
data sharing,inference,3,NeuroVault_2015,Gorgolewski et al. (2015),NeuroVault.org: a web-based repository for collecting and sharing unthresholded statistical maps of the human brain,Gorgolewski et al.,2015,Frontiers in Neuroinformatics,data repository / statistical maps,"validation, caveat, or task template",https://doi.org/10.3389/fninf.2015.00008,high,
data sharing,inference,4,Poldrack_Repro_2017,Poldrack et al. (2017),Scanning the horizon: towards transparent and reproducible neuroimaging research,Poldrack et al.,2017,Nature Reviews Neuroscience,reproducibility / open science,robustness / evaluation / cross-topic bridge,https://doi.org/10.1038/nrn.2016.167,high,
data sharing,inference,5,BIDSApps_2017,Gorgolewski et al. (2017),"BIDS Apps: Improving ease of use, accessibility, and reproducibility of neuroimaging data analysis methods",Gorgolewski et al.,2017,PLoS Computational Biology,containerized pipeline standard,additional pipeline/dataset/reference,https://doi.org/10.1371/journal.pcbi.1005209,medium,
data sharing,inference,6,Vinding_2022,Vinding et al. (2022),Sharing individualised template MRI data for MEG source reconstruction: A solution for open data while keeping subject confidentiality,Vinding et al.,2022,NeuroImage,modern method/tool (2020+),recent method/development (2020+),https://doi.org/10.1016/j.neuroimage.2022.119165,medium,auto 2020+; verify
data sharing,inference,7,Alsaigh_2024,Alsaigh et al. (2024),Harmonizing AI governance regulations and neuroinformatics: perspectives on privacy and data sharing,Alsaigh et al.,2024,Frontiers in Neuroinformatics,modern method/tool (2020+),recent method/development (2020+),https://doi.org/10.3389/fninf.2024.1472653,medium,auto 2020+; verify
data sharing,inference,8,Behan_2023,Behan et al. (2023),FAIR in action: Brain-CODE - A neuroscience data sharing platform to accelerate brain research,Behan et al.,2023,Frontiers in Neuroinformatics,modern method/tool (2020+),recent method/development (2020+),https://doi.org/10.3389/fninf.2023.1158378,medium,auto 2020+; verify
deep learning,inference,1,Haxby_MVPA_2001,Haxby et al. (2001),Distributed and overlapping representations of faces and objects in ventral temporal cortex,Haxby et al.,2001,Science,MVPA / perception,primary anchor / canonical method or dataset,https://doi.org/10.1126/science.1063736,high,
deep learning,inference,2,Abraham_Nilearn_2014,Abraham et al. (2014),Machine learning for neuroimaging with scikit-learn,Abraham et al.,2014,Frontiers in Neuroinformatics,software / ML pipeline,"pipeline, benchmark, or second anchor",https://doi.org/10.3389/fninf.2014.00014,high,
deep learning,inference,3,Varoquaux_CV_2018,Varoquaux (2018),Cross-validation failure: small sample sizes lead to large error bars,Varoquaux,2018,NeuroImage,ML validation / sample size,"validation, caveat, or task template",https://doi.org/10.1016/j.neuroimage.2017.06.061,high,
deep learning,inference,4,Haufe_2014,Haufe et al. (2014),On the interpretation of weight vectors of linear models in multivariate neuroimaging,Haufe et al.,2014,NeuroImage,model interpretability,robustness / evaluation / cross-topic bridge,https://doi.org/10.1016/j.neuroimage.2013.10.067,high,
deep learning,inference,5,Heinsfeld_ABIDE_2018,Heinsfeld et al. (2018),Identification of autism spectrum disorder using deep learning and the ABIDE dataset,Heinsfeld et al.,2018,NeuroImage: Clinical,deep learning / autism,additional pipeline/dataset/reference,https://doi.org/10.1016/j.nicl.2017.08.017,medium,
deep learning,inference,6,Henschel_2020,Henschel et al. (2020),FastSurfer - A fast and accurate deep learning based neuroimaging pipeline,Henschel et al.,2020,NeuroImage,modern method/tool (2020+),recent method/development (2020+),https://doi.org/10.1016/j.neuroimage.2020.117012,medium,auto 2020+; verify
deep learning,inference,7,Dinsdale_2020,Dinsdale et al. (2020),Deep learning-based unlearning of dataset bias for MRI harmonisation and confound removal,Dinsdale et al.,2020,NeuroImage,modern method/tool (2020+),recent method/development (2020+),https://doi.org/10.1016/j.neuroimage.2020.117689,medium,auto 2020+; verify
deep learning,inference,8,Wang_2021,Wang et al. (2021),A deep learning algorithm for automatic detection and classification of acute intracranial hemorrhages in head CT scans,Wang et al.,2021,NeuroImage Clinical,modern method/tool (2020+),recent method/development (2020+),https://doi.org/10.1016/j.nicl.2021.102785,medium,auto 2020+; verify
deep learning,inference,9,Jiao_2023,Jiao et al. (2023),Brain-Inspired Remote Sensing Foundation Models and Open Problems: A Comprehensive Survey,Jiao et al.,2023,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,modern method/tool (2020+),"modern method/tool (2020+, named)",https://doi.org/10.1109/jstars.2023.3316302,medium,auto 2020+; verify
deep learning,inference,10,Putz_2024,Putz et al. (2024),The Segment Anything foundation model achieves favorable brain tumor auto-segmentation accuracy in MRI to support radiotherapy treatment planning,Putz et al.,2024,Strahlentherapie und Onkologie,modern method/tool (2020+),"modern method/tool (2020+, named)",https://doi.org/10.1007/s00066-024-02313-8,medium,auto 2020+; verify
deep learning,inference,11,Jiao_2020,Jiao et al. (2020),Self-Supervised Ultrasound to MRI Fetal Brain Image Synthesis,Jiao et al.,2020,IEEE Transactions on Medical Imaging,modern method/tool (2020+),"modern method/tool (2020+, named)",https://doi.org/10.1109/tmi.2020.3018560,medium,auto 2020+; verify
deep learning,inference,12,Mishra_2023,Mishra et al. (2023),SSCLNet: A Self-Supervised Contrastive Loss-Based Pre-Trained Network for Brain MRI Classification,Mishra et al.,2023,IEEE Access,modern method/tool (2020+),"modern method/tool (2020+, named)",https://doi.org/10.1109/access.2023.3237542,medium,auto 2020+; verify
deep learning,inference,13,Reddy_2024,Reddy et al. (2024),A fine-tuned vision transformer based enhanced multi-class brain tumor classification using MRI scan imagery,Reddy et al.,2024,Frontiers in Oncology,modern method/tool (2020+),"modern method/tool (2020+, named)",https://doi.org/10.3389/fonc.2024.1400341,medium,auto 2020+; verify
deep learning,inference,14,Asiri_2023,Asiri et al. (2023),Exploring the Power of Deep Learning: Fine-Tuned Vision Transformer for Accurate and Efficient Brain Tumor Detection in MRI Scans,Asiri et al.,2023,Diagnostics,modern method/tool (2020+),"modern method/tool (2020+, named)",https://doi.org/10.3390/diagnostics13122094,medium,auto 2020+; verify
default mode network,organization,1,Raichle_DMN_2001,Raichle et al. (2001),A default mode of brain function,Raichle et al.,2001,PNAS,default mode network,primary anchor / canonical method or dataset,https://doi.org/10.1073/pnas.98.2.676,high,
default mode network,organization,2,Fox_2005,Fox et al. (2005),"The human brain is intrinsically organized into dynamic, anticorrelated functional networks",Fox et al.,2005,PNAS,resting-state networks,"pipeline, benchmark, or second anchor",https://doi.org/10.1073/pnas.0504136102,high,
default mode network,organization,3,Yeo_2011,Yeo et al. (2011),The organization of the human cerebral cortex estimated by intrinsic functional connectivity,Yeo et al.,2011,Journal of Neurophysiology,network atlas / parcellation,"validation, caveat, or task template",https://doi.org/10.1152/jn.00338.2011,high,
default mode network,organization,4,Power_2011,Power et al. (2011),Functional network organization of the human brain,Power et al.,2011,Neuron,network atlas / graph construction,robustness / evaluation / cross-topic bridge,https://doi.org/10.1016/j.neuron.2011.09.006,high,
default mode network,organization,5,Ciric_2017,Ciric et al. (2017),Benchmarking of participant-level confound regression strategies for the control of motion artifact in studies of functional connectivity,Ciric et al.,2017,NeuroImage,benchmark / denoising strategies,additional pipeline/dataset/reference,https://doi.org/10.1016/j.neuroimage.2017.03.020,medium,
default mode network,organization,6,Su_2021,Su et al. (2021),Viewing personalized video clips recommended by TikTok activates default mode network and ventral tegmental area,Su et al.,2021,NeuroImage,modern method/tool (2020+),recent method/development (2020+),https://doi.org/10.1016/j.neuroimage.2021.118136,medium,auto 2020+; verify
default mode network,organization,7,Dohmatob_2020,Dohmatob et al. (2020),Dark control: The default mode network as a reinforcement learning agent,Dohmatob et al.,2020,Human Brain Mapping,modern method/tool (2020+),recent method/development (2020+),https://doi.org/10.1002/hbm.25019,medium,auto 2020+; verify
diffusion MRI,measurement,1,Basser_DTI_1994,Basser et al. (1994),MR diffusion tensor spectroscopy and imaging,Basser et al.,1994,Biophysical Journal,diffusion tensor method,primary anchor / canonical method or dataset,https://doi.org/10.1016/S0006-3495(94)80775-1,high,
diffusion MRI,measurement,2,Pierpaoli_FA_1996,Pierpaoli & Basser (1996),Toward a quantitative assessment of diffusion anisotropy,Pierpaoli & Basser,1996,Magnetic Resonance in Medicine,fractional anisotropy / DTI metric,"pipeline, benchmark, or second anchor",https://doi.org/10.1002/mrm.1910360612,high,
diffusion MRI,measurement,3,Smith_TBSS_2006,Smith et al. (2006),Tract-based spatial statistics: voxelwise analysis of multi-subject diffusion data,Smith et al.,2006,NeuroImage,TBSS / group diffusion pipeline,"validation, caveat, or task template",https://doi.org/10.1016/j.neuroimage.2006.02.024,high,
diffusion MRI,measurement,4,Behrens_ProbTrack_2007,Behrens et al. (2007),Probabilistic diffusion tractography with multiple fibre orientations,Behrens et al.,2007,Magnetic Resonance in Medicine,probabilistic tractography,robustness / evaluation / cross-topic bridge,https://doi.org/10.1002/mrm.21145,high,
diffusion MRI,measurement,5,Tournier_MRtrix3_2019,Tournier et al. (2019),"MRtrix3: A fast, flexible and open software framework for medical image processing and visualisation",Tournier et al.,2019,NeuroImage,software suite / diffusion pipeline,additional pipeline/dataset/reference,https://doi.org/10.1016/j.neuroimage.2019.116137,medium,
diffusion MRI,measurement,6,Palombo_2020,Palombo et al. (2020),SANDI: A compartment-based model for non-invasive apparent soma and neurite imaging by diffusion MRI,Palombo et al.,2020,NeuroImage,modern method/tool (2020+),recent method/development (2020+),https://doi.org/10.1016/j.neuroimage.2020.116835,medium,auto 2020+; verify
diffusion MRI,measurement,7,Theaud_2020,Theaud et al. (2020),"TractoFlow: A robust, efficient and reproducible diffusion MRI pipeline leveraging Nextflow &amp; Singularity",Theaud et al.,2020,NeuroImage,modern method/tool (2020+),recent method/development (2020+),https://doi.org/10.1016/j.neuroimage.2020.116889,medium,auto 2020+; verify
diffusion MRI,measurement,8,Ooi_2022,Ooi et al. (2022),"Comparison of individualized behavioral predictions across anatomical, diffusion and functional connectivity MRI",Ooi et al.,2022,NeuroImage,modern method/tool (2020+),recent method/development (2020+),https://doi.org/10.1016/j.neuroimage.2022.119636,medium,auto 2020+; verify
diffusion MRI,measurement,9,Cieslak_2021,Cieslak et al. (2021),QSIPrep: an integrative platform for preprocessing and reconstructing diffusion MRI data,Cieslak et al.,2021,Nature Methods,modern method/tool (2020+),"modern method/tool (2020+, named)",https://doi.org/10.1038/s41592-021-01185-5,medium,auto 2020+; verify
dynamic functional connectivity,inference,1,Allen_DynFC_2014,Allen et al. (2014),Tracking whole-brain connectivity dynamics in the resting state,Allen et al.,2014,Cerebral Cortex,dynamic FC pipeline,primary anchor / canonical method or dataset,https://doi.org/10.1093/cercor/bhs352,high,
dynamic functional connectivity,inference,2,Hutchison_DynFC_2013,Hutchison et al. (2013),"Dynamic functional connectivity: promise, issues, and interpretations",Hutchison et al.,2013,NeuroImage,dynamic FC review / caveats,"pipeline, benchmark, or second anchor",https://doi.org/10.1016/j.neuroimage.2013.05.079,high,
dynamic functional connectivity,inference,3,Lurie_dFC_2020,Lurie et al. (2020),Questions and controversies in the study of time-varying functional connectivity in resting fMRI,Lurie et al.,2020,Network Neuroscience,dynamic FC consensus/caveats,robustness / evaluation / cross-topic bridge,https://doi.org/10.1162/netn_a_00116,high,
dynamic functional connectivity,inference,4,Ciric_2017,Ciric et al. (2017),Benchmarking of participant-level confound regression strategies for the control of motion artifact in studies of functional connectivity,Ciric et al.,2017,NeuroImage,benchmark / denoising strategies,additional pipeline/dataset/reference,https://doi.org/10.1016/j.neuroimage.2017.03.020,medium,
dynamic functional connectivity,inference,5,Battaglia_2020,Battaglia et al. (2020),Dynamic Functional Connectivity between order and randomness and its evolution across the human adult lifespan,Battaglia et al.,2020,NeuroImage,modern method/tool (2020+),recent method/development (2020+),https://doi.org/10.1016/j.neuroimage.2020.117156,medium,auto 2020+; verify
dynamic functional connectivity,inference,6,Tsurugizawa_2021,Tsurugizawa et al. (2021),Impact of anesthesia on static and dynamic functional connectivity in mice,Tsurugizawa et al.,2021,NeuroImage,modern method/tool (2020+),recent method/development (2020+),https://doi.org/10.1016/j.neuroimage.2021.118413,medium,auto 2020+; verify
effect size,inference,1,Marek_BWAS_2022,Marek et al. (2022),Reproducible brain-wide association studies require thousands of individuals,Marek et al.,2022,Nature,sample size / BWAS,primary anchor / canonical method or dataset,https://doi.org/10.1038/s41586-022-04492-9,high,
effect size,inference,2,Button_Power_2013,Button et al. (2013),Power failure: why small sample size undermines the reliability of neuroscience,Button et al.,2013,Nature Reviews Neuroscience,statistical power,"pipeline, benchmark, or second anchor",https://doi.org/10.1038/nrn3475,high,
effect size,inference,3,Varoquaux_CV_2018,Varoquaux (2018),Cross-validation failure: small sample sizes lead to large error bars,Varoquaux,2018,NeuroImage,ML validation / sample size,"validation, caveat, or task template",https://doi.org/10.1016/j.neuroimage.2017.06.061,high,
effect size,inference,4,BotvinikNezer_2020,Botvinik-Nezer et al. (2020),Variability in the analysis of a single neuroimaging dataset by many teams,Botvinik-Nezer et al.,2020,Nature,many-analyst benchmark,robustness / evaluation / cross-topic bridge,https://doi.org/10.1038/s41586-020-2314-9,high,
effect size,inference,5,Carp_2012,Carp (2012),On the plurality of methodological worlds: estimating the analytic flexibility of fMRI experiments,Carp,2012,Frontiers in Neuroscience,analytic flexibility,additional pipeline/dataset/reference,https://doi.org/10.3389/fnins.2012.00149,medium,
effect size,inference,6,Han_2021,Han et al. (2021),Effect sizes and test-retest reliability of the fMRI-based neurologic pain signature,Han et al.,2021,NeuroImage,modern method/tool (2020+),recent method/development (2020+),https://doi.org/10.1016/j.neuroimage.2021.118844,medium,auto 2020+; verify
effect size,inference,7,Bowring_2020,Bowring et al. (2020),Confidence Sets for Cohen’s d effect size images,Bowring et al.,2020,NeuroImage,modern method/tool (2020+),recent method/development (2020+),https://doi.org/10.1016/j.neuroimage.2020.117477,medium,auto 2020+; verify
effect size,inference,8,Valstad_2020,Valstad et al. (2020),"Experience-dependent modulation of the visual evoked potential: Testing effect sizes, retention over time, and associations with age in 415 healthy individuals",Valstad et al.,2020,NeuroImage,modern method/tool (2020+),recent method/development (2020+),https://doi.org/10.1016/j.neuroimage.2020.117302,medium,auto 2020+; verify
emotion,phenotype,1,Barch_HCP_Task_2013,Barch et al. (2013),Function in the human connectome: task-fMRI and individual differences in behavior,Barch et al.,2013,NeuroImage,task fMRI battery / HCP,primary anchor / canonical method or dataset,https://doi.org/10.1016/j.neuroimage.2013.05.033,medium,
emotion,phenotype,2,Kriegeskorte_RSA_2008,Kriegeskorte et al. (2008),Representational similarity analysis—connecting the branches of systems neuroscience,Kriegeskorte et al.,2008,Frontiers in Systems Neuroscience,RSA / multivariate analysis,"pipeline, benchmark, or second anchor",https://doi.org/10.3389/neuro.06.004.2008,high,
emotion,phenotype,3,Woo_Biomarkers_2017,Woo et al. (2017),Building better biomarkers: brain models in translational neuroimaging,Woo et al.,2017,Nature Neuroscience,biomarker validation framework,"validation, caveat, or task template",https://doi.org/10.1038/nn.4478,high,
emotion,phenotype,4,fMRIPrep_Task_2020,Esteban et al. (2020),Analysis of task-based functional MRI data preprocessed with fMRIPrep,Esteban et al.,2020,Nature Protocols,analysis protocol,robustness / evaluation / cross-topic bridge,https://doi.org/10.1038/s41596-020-0327-3,high,
emotion,phenotype,5,SPM_1994,Friston et al. (1994),Statistical parametric maps in functional imaging: A general linear approach,Friston et al.,1994,Human Brain Mapping,statistical modeling / GLM,additional pipeline/dataset/reference,https://doi.org/10.1002/hbm.460020402,medium,
emotion,phenotype,6,Zotev_2020,Zotev et al. (2020),Emotion self-regulation training in major depressive disorder using simultaneous real-time fMRI and EEG neurofeedback,Zotev et al.,2020,NeuroImage Clinical,modern method/tool (2020+),recent method/development (2020+),https://doi.org/10.1016/j.nicl.2020.102331,medium,auto 2020+; verify
emotion,phenotype,7,Scharnowski_2020,Scharnowski et al. (2020),The role of the subgenual anterior cingulate cortex in dorsomedial prefrontal–amygdala neural circuitry during positive‐social emotion regulation,Scharnowski et al.,2020,Human Brain Mapping,modern method/tool (2020+),recent method/development (2020+),https://doi.org/10.1002/hbm.25001,medium,auto 2020+; verify
emotion,phenotype,8,Portugal_2020,Portugal et al. (2020),Interactions between emotion and action in the brain,Portugal et al.,2020,NeuroImage,modern method/tool (2020+),recent method/development (2020+),https://doi.org/10.1016/j.neuroimage.2020.116728,medium,auto 2020+; verify
enigma,inference,1,Thompson_ENIGMA_2014,Thompson et al. (2014),The ENIGMA Consortium: large-scale collaborative analyses of neuroimaging and genetic data,Thompson et al.,2014,Brain Imaging and Behavior,consortium / harmonized analysis,primary anchor / canonical method or dataset,https://doi.org/10.1007/s11682-013-9269-5,high,
enigma,inference,2,Thompson_ENIGMA_2020,Thompson et al. (2020),ENIGMA and global neuroscience: a decade of large-scale studies of the brain in health and disease,Thompson et al.,2020,Translational Psychiatry,consortium review,"pipeline, benchmark, or second anchor",https://doi.org/10.1038/s41398-020-0705-1,high,
enigma,inference,3,Fortin_ComBat_Cortical_2018,Fortin et al. (2018),Harmonization of cortical thickness measurements across scanners and sites,Fortin et al.,2018,NeuroImage,harmonization / ComBat,"validation, caveat, or task template",https://doi.org/10.1016/j.neuroimage.2017.11.024,high,
enigma,inference,4,Goodkind_Transdiagnostic_2015,Goodkind et al. (2015),Identification of a common neurobiological substrate for mental illness,Goodkind et al.,2015,JAMA Psychiatry,transdiagnostic meta-analysis,robustness / evaluation / cross-topic bridge,https://doi.org/10.1001/jamapsychiatry.2014.2206,high,
