paper_key,short_citation,title,authors,year,venue,paper_type,source_or_lookup_url,source_confidence,notes
Zhao_2023,Zhao et al. (2023),Task fMRI paradigms may capture more behaviorally relevant information than resting-state functional connectivity,Zhao et al.,2023,NeuroImage,modern method/tool (2020+),https://doi.org/10.1016/j.neuroimage.2023.119946,medium,auto-added 2020+ via OpenAlex; verify
Gemein_2020,Gemein et al. (2020),Machine-learning-based diagnostics of EEG pathology,Gemein et al.,2020,NeuroImage,modern method/tool (2020+),https://doi.org/10.1016/j.neuroimage.2020.117021,medium,auto-added 2020+ via OpenAlex; verify
Shoeibi_2021,Shoeibi et al. (2021),Automatic Diagnosis of Schizophrenia in EEG Signals Using CNN-LSTM Models,Shoeibi et al.,2021,Frontiers in Neuroinformatics,modern method/tool (2020+),https://doi.org/10.3389/fninf.2021.777977,medium,auto-added 2020+ via OpenAlex; verify
Miao_2023,Miao et al. (2023),LMDA-Net:A lightweight multi-dimensional attention network for general EEG-based brain-computer interfaces and interpretability,Miao et al.,2023,NeuroImage,modern method/tool (2020+),https://doi.org/10.1016/j.neuroimage.2023.120209,medium,auto-added 2020+ via OpenAlex; verify
Bathelt_2021,Bathelt et al. (2021),More than the sum of its parts: Merging network psychometrics and network neuroscience with application in autism,Bathelt et al.,2021,Network Neuroscience,modern method/tool (2020+),https://doi.org/10.1162/netn_a_00222,medium,auto-added 2020+ via OpenAlex; verify
Hilger_2021,Hilger et al. (2021),Personality network neuroscience: Promises and challenges on the way toward a unifying framework of individual variability,Hilger et al.,2021,Network Neuroscience,modern method/tool (2020+),https://doi.org/10.1162/netn_a_00198,medium,auto-added 2020+ via OpenAlex; verify
Jiang_2023,Jiang et al. (2023),Optimizing network neuroscience computation of individual differences in human spontaneous brain activity for test-retest reliability,Jiang et al.,2023,Network Neuroscience,modern method/tool (2020+),https://doi.org/10.1162/netn_a_00315,medium,auto-added 2020+ via OpenAlex; verify
Fan_2020,Fan et al. (2020),Development of the default-mode network during childhood and adolescence: A longitudinal resting-state fMRI study,Fan et al.,2020,NeuroImage,modern method/tool (2020+),https://doi.org/10.1016/j.neuroimage.2020.117581,medium,auto-added 2020+ via OpenAlex; verify
Frssle_2021,Frssle et al. (2021),Regression dynamic causal modeling for resting‐state fMRI,Frssle et al.,2021,Human Brain Mapping,modern method/tool (2020+),https://doi.org/10.1002/hbm.25357,medium,auto-added 2020+ via OpenAlex; verify
Wiesman_2020,Wiesman et al. (2020),Attention modulates the gating of primary somatosensory oscillations,Wiesman et al.,2020,NeuroImage,modern method/tool (2020+),https://doi.org/10.1016/j.neuroimage.2020.116610,medium,auto-added 2020+ via OpenAlex; verify
Henschel_2020,Henschel et al. (2020),FastSurfer - A fast and accurate deep learning based neuroimaging pipeline,Henschel et al.,2020,NeuroImage,modern method/tool (2020+),https://doi.org/10.1016/j.neuroimage.2020.117012,medium,auto-added 2020+ via OpenAlex; verify
Dinsdale_2020,Dinsdale et al. (2020),Deep learning-based unlearning of dataset bias for MRI harmonisation and confound removal,Dinsdale et al.,2020,NeuroImage,modern method/tool (2020+),https://doi.org/10.1016/j.neuroimage.2020.117689,medium,auto-added 2020+ via OpenAlex; verify
Wang_2021,Wang et al. (2021),A deep learning algorithm for automatic detection and classification of acute intracranial hemorrhages in head CT scans,Wang et al.,2021,NeuroImage Clinical,modern method/tool (2020+),https://doi.org/10.1016/j.nicl.2021.102785,medium,auto-added 2020+ via OpenAlex; verify
Beck_2020,Beck et al. (2020),White matter microstructure across the adult lifespan: A mixed longitudinal and cross-sectional study using advanced diffusion models and brain-age prediction,Beck et al.,2020,NeuroImage,modern method/tool (2020+),https://doi.org/10.1016/j.neuroimage.2020.117441,medium,auto-added 2020+ via OpenAlex; verify
Lange_2022,Lange et al. (2022),Mind the gap: Performance metric evaluation in brain‐age prediction,Lange et al.,2022,Human Brain Mapping,modern method/tool (2020+),https://doi.org/10.1002/hbm.25837,medium,auto-added 2020+ via OpenAlex; verify
Sarwar_2020,Sarwar et al. (2020),Structure-function coupling in the human connectome: A machine learning approach,Sarwar et al.,2020,NeuroImage,modern method/tool (2020+),https://doi.org/10.1016/j.neuroimage.2020.117609,medium,auto-added 2020+ via OpenAlex; verify
Chen_2021,Chen et al. (2021),Mitigating site effects in covariance for machine learning in neuroimaging data,Chen et al.,2021,Human Brain Mapping,modern method/tool (2020+),https://doi.org/10.1002/hbm.25688,medium,auto-added 2020+ via OpenAlex; verify
Cai_2021,Cai et al. (2021),Large‐scale functional network connectivity mediate the associations of gut microbiota with sleep quality and executive functions,Cai et al.,2021,Human Brain Mapping,modern method/tool (2020+),https://doi.org/10.1002/hbm.25419,medium,auto-added 2020+ via OpenAlex; verify
Cordova_2020,Cordova et al. (2020),Heterogeneity of executive function revealed by a functional random forest approach across ADHD and ASD,Cordova et al.,2020,NeuroImage Clinical,modern method/tool (2020+),https://doi.org/10.1016/j.nicl.2020.102245,medium,auto-added 2020+ via OpenAlex; verify
Boon_2020,Boon et al. (2020),Functional connectivity between resting-state networks reflects decline in executive function in Parkinson’s disease: A longitudinal fMRI study,Boon et al.,2020,NeuroImage Clinical,modern method/tool (2020+),https://doi.org/10.1016/j.nicl.2020.102468,medium,auto-added 2020+ via OpenAlex; verify
Hong_2020,Hong et al. (2020),Toward a connectivity gradient-based framework for reproducible biomarker discovery,Hong et al.,2020,NeuroImage,modern method/tool (2020+),https://doi.org/10.1016/j.neuroimage.2020.117322,medium,auto-added 2020+ via OpenAlex; verify
Jeancolas_2021,Jeancolas et al. (2021),X-Vectors: New Quantitative Biomarkers for Early Parkinson's Disease Detection From Speech,Jeancolas et al.,2021,Frontiers in Neuroinformatics,modern method/tool (2020+),https://doi.org/10.3389/fninf.2021.578369,medium,auto-added 2020+ via OpenAlex; verify
Traut_2022,Traut et al. (2022),Insights from an autism imaging biomarker challenge: Promises and threats to biomarker discovery,Traut et al.,2022,NeuroImage,modern method/tool (2020+),https://doi.org/10.1016/j.neuroimage.2022.119171,medium,auto-added 2020+ via OpenAlex; verify
Liu_2023,Liu et al. (2023),Cascaded Multi-Modal Mixing Transformers for Alzheimer’s Disease Classification with Incomplete Data,Liu et al.,2023,NeuroImage,modern method/tool (2020+),https://doi.org/10.1016/j.neuroimage.2023.120267,medium,auto-added 2020+ via OpenAlex; verify
Gaziv_2022,Gaziv et al. (2022),Self-supervised Natural Image Reconstruction and Large-scale Semantic Classification from Brain Activity,Gaziv et al.,2022,NeuroImage,modern method/tool (2020+),https://doi.org/10.1016/j.neuroimage.2022.119121,medium,auto-added 2020+ via OpenAlex; verify
Radu_2020,Radu et al. (2020),Increased power by harmonizing structural MRI site differences with the ComBat batch adjustment method in ENIGMA,Radu et al.,2020,NeuroImage,modern method/tool (2020+),https://doi.org/10.1016/j.neuroimage.2020.116956,medium,auto-added 2020+ via OpenAlex; verify
Raki_2020,Raki et al. (2020),Improving the detection of autism spectrum disorder by combining structural and functional MRI information,Raki et al.,2020,NeuroImage Clinical,modern method/tool (2020+),https://doi.org/10.1016/j.nicl.2020.102181,medium,auto-added 2020+ via OpenAlex; verify
Hedges_2021,Hedges et al. (2021),"Reliability of structural MRI measurements: The effects of scan session, head tilt, inter-scan interval, acquisition sequence, FreeSurfer version and processing stream",Hedges et al.,2021,NeuroImage,modern method/tool (2020+),https://doi.org/10.1016/j.neuroimage.2021.118751,medium,auto-added 2020+ via OpenAlex; verify
Bell_2022,Bell et al. (2022),Harmonization of multi-site MRS data with ComBat,Bell et al.,2022,NeuroImage,modern method/tool (2020+),https://doi.org/10.1016/j.neuroimage.2022.119330,medium,auto-added 2020+ via OpenAlex; verify
LeaCarnall_2022,LeaCarnall et al. (2022),A mean-field model of glutamate and GABA synaptic dynamics for functional MRS,LeaCarnall et al.,2022,NeuroImage,modern method/tool (2020+),https://doi.org/10.1016/j.neuroimage.2022.119813,medium,auto-added 2020+ via OpenAlex; verify
Mosso_2022,Mosso et al. (2022),MP-PCA denoising for diffusion MRS data: promises and pitfalls,Mosso et al.,2022,NeuroImage,modern method/tool (2020+),https://doi.org/10.1016/j.neuroimage.2022.119634,medium,auto-added 2020+ via OpenAlex; verify
Su_2021,Su et al. (2021),Viewing personalized video clips recommended by TikTok activates default mode network and ventral tegmental area,Su et al.,2021,NeuroImage,modern method/tool (2020+),https://doi.org/10.1016/j.neuroimage.2021.118136,medium,auto-added 2020+ via OpenAlex; verify
Dohmatob_2020,Dohmatob et al. (2020),Dark control: The default mode network as a reinforcement learning agent,Dohmatob et al.,2020,Human Brain Mapping,modern method/tool (2020+),https://doi.org/10.1002/hbm.25019,medium,auto-added 2020+ via OpenAlex; verify
Martens_2020,Martens et al. (2020),Behavioral and electrophysiological effects of network-based frontoparietal tDCS in patients with severe brain injury: A randomized controlled trial,Martens et al.,2020,NeuroImage Clinical,modern method/tool (2020+),https://doi.org/10.1016/j.nicl.2020.102426,medium,auto-added 2020+ via OpenAlex; verify
Li_2020,Li et al. (2020),Disruption of the structural and functional connectivity of the frontoparietal network underlies symptomatic anxiety in late-life depression,Li et al.,2020,NeuroImage Clinical,modern method/tool (2020+),https://doi.org/10.1016/j.nicl.2020.102398,medium,auto-added 2020+ via OpenAlex; verify
Chen_2021_2,Chen et al. (2021),Hypostability in the default mode network and hyperstability in the frontoparietal control network of dynamic functional architecture during rumination,Chen et al.,2021,NeuroImage,modern method/tool (2020+),https://doi.org/10.1016/j.neuroimage.2021.118427,medium,auto-added 2020+ via OpenAlex; verify
Picchioni_2022,Picchioni et al. (2022),Autonomic arousals contribute to brain fluid pulsations during sleep,Picchioni et al.,2022,NeuroImage,modern method/tool (2020+),https://doi.org/10.1016/j.neuroimage.2022.118888,medium,auto-added 2020+ via OpenAlex; verify
Ipia_2020,Ipia et al. (2020),Modeling regional changes in dynamic stability during sleep and wakefulness,Ipia et al.,2020,NeuroImage,modern method/tool (2020+),https://doi.org/10.1016/j.neuroimage.2020.116833,medium,auto-added 2020+ via OpenAlex; verify
Banks_2020,Banks et al. (2020),Cortical functional connectivity indexes arousal state during sleep and anesthesia,Banks et al.,2020,NeuroImage,modern method/tool (2020+),https://doi.org/10.1016/j.neuroimage.2020.116627,medium,auto-added 2020+ via OpenAlex; verify
Zotev_2020,Zotev et al. (2020),Emotion self-regulation training in major depressive disorder using simultaneous real-time fMRI and EEG neurofeedback,Zotev et al.,2020,NeuroImage Clinical,modern method/tool (2020+),https://doi.org/10.1016/j.nicl.2020.102331,medium,auto-added 2020+ via OpenAlex; verify
Scharnowski_2020,Scharnowski et al. (2020),The role of the subgenual anterior cingulate cortex in dorsomedial prefrontal–amygdala neural circuitry during positive‐social emotion regulation,Scharnowski et al.,2020,Human Brain Mapping,modern method/tool (2020+),https://doi.org/10.1002/hbm.25001,medium,auto-added 2020+ via OpenAlex; verify
Portugal_2020,Portugal et al. (2020),Interactions between emotion and action in the brain,Portugal et al.,2020,NeuroImage,modern method/tool (2020+),https://doi.org/10.1016/j.neuroimage.2020.116728,medium,auto-added 2020+ via OpenAlex; verify
Frangou_2021,Frangou et al. (2021),"Cortical thickness across the lifespan: Data from 17,075 healthy individuals aged 3–90 years",Frangou et al.,2021,Human Brain Mapping,modern method/tool (2020+),https://doi.org/10.1002/hbm.25364,medium,auto-added 2020+ via OpenAlex; verify
Nicholson_2020,Nicholson et al. (2020),"Classifying heterogeneous presentations of PTSD via the default mode, central executive, and salience networks with machine learning",Nicholson et al.,2020,NeuroImage Clinical,modern method/tool (2020+),https://doi.org/10.1016/j.nicl.2020.102262,medium,auto-added 2020+ via OpenAlex; verify
Nicholson_2020_2,Nicholson et al. (2020),"A randomized, controlled trial of alpha-rhythm EEG neurofeedback in posttraumatic stress disorder: A preliminary investigation showing evidence of decreased PTSD symptoms and restored default mode and salience network connectivity using fMRI",Nicholson et al.,2020,NeuroImage Clinical,modern method/tool (2020+),https://doi.org/10.1016/j.nicl.2020.102490,medium,auto-added 2020+ via OpenAlex; verify
Puledda_2021,Puledda et al. (2021),"Disrupted connectivity within visual, attentional and salience networks in the visual snow syndrome",Puledda et al.,2021,Human Brain Mapping,modern method/tool (2020+),https://doi.org/10.1002/hbm.25343,medium,auto-added 2020+ via OpenAlex; verify
Millar_2022,Millar et al. (2022),Predicting brain age from functional connectivity in symptomatic and preclinical Alzheimer disease,Millar et al.,2022,NeuroImage,modern method/tool (2020+),https://doi.org/10.1016/j.neuroimage.2022.119228,medium,auto-added 2020+ via OpenAlex; verify
Koenig_2020,Koenig et al. (2020),Select Atrophied Regions in Alzheimer disease (SARA): An improved volumetric model for identifying Alzheimer disease dementia,Koenig et al.,2020,NeuroImage Clinical,modern method/tool (2020+),https://doi.org/10.1016/j.nicl.2020.102248,medium,auto-added 2020+ via OpenAlex; verify
Coup_2022,Coup et al. (2022),Hippocampal‐amygdalo‐ventricular atrophy score: Alzheimer disease detection using normative and pathological lifespan models,Coup et al.,2022,Human Brain Mapping,modern method/tool (2020+),https://doi.org/10.1002/hbm.25850,medium,auto-added 2020+ via OpenAlex; verify
Duma_2020,Duma et al. (2020),Should I stay or should I go? How local-global implicit temporal expectancy shapes proactive motor control: An hdEEG study,Duma et al.,2020,NeuroImage,modern method/tool (2020+),https://doi.org/10.1016/j.neuroimage.2020.117071,medium,auto-added 2020+ via OpenAlex; verify
Belyk_2021,Belyk et al. (2021),Human larynx motor cortices coordinate respiration for vocal-motor control,Belyk et al.,2021,NeuroImage,modern method/tool (2020+),https://doi.org/10.1016/j.neuroimage.2021.118326,medium,auto-added 2020+ via OpenAlex; verify
Abidi_2022,Abidi et al. (2022),Motor imagery in amyotrophic lateral Sclerosis: An fMRI study of postural control,Abidi et al.,2022,NeuroImage Clinical,modern method/tool (2020+),https://doi.org/10.1016/j.nicl.2022.103051,medium,auto-added 2020+ via OpenAlex; verify
Zhao_2021,Zhao et al. (2021),A dynamic graph convolutional neural network framework reveals new insights into connectome dysfunctions in ADHD,Zhao et al.,2021,NeuroImage,modern method/tool (2020+),https://doi.org/10.1016/j.neuroimage.2021.118774,medium,auto-added 2020+ via OpenAlex; verify
Tomita_2020,Tomita et al. (2020),Automatic post-stroke lesion segmentation on MR images using 3D residual convolutional neural network,Tomita et al.,2020,NeuroImage Clinical,modern method/tool (2020+),https://doi.org/10.1016/j.nicl.2020.102276,medium,auto-added 2020+ via OpenAlex; verify
Boutinaud_2021,Boutinaud et al. (2021),3D Segmentation of Perivascular Spaces on T1-Weighted 3 Tesla MR Images With a Convolutional Autoencoder and a U-Shaped Neural Network,Boutinaud et al.,2021,Frontiers in Neuroinformatics,modern method/tool (2020+),https://doi.org/10.3389/fninf.2021.641600,medium,auto-added 2020+ via OpenAlex; verify
Al_2021,Al et al. (2021),Heartbeat and somatosensory perception,Al et al.,2021,NeuroImage,modern method/tool (2020+),https://doi.org/10.1016/j.neuroimage.2021.118247,medium,auto-added 2020+ via OpenAlex; verify
Ceolini_2020,Ceolini et al. (2020),Brain-informed speech separation (BISS) for enhancement of target speaker in multitalker speech perception,Ceolini et al.,2020,NeuroImage,modern method/tool (2020+),https://doi.org/10.1016/j.neuroimage.2020.117282,medium,auto-added 2020+ via OpenAlex; verify
Li_2022,Li et al. (2022),"The human mediodorsal thalamus: Organization, connectivity, and function",Li et al.,2022,NeuroImage,modern method/tool (2020+),https://doi.org/10.1016/j.neuroimage.2022.118876,medium,auto-added 2020+ via OpenAlex; verify
Scherer_2020,Scherer et al. (2020),Desynchronization of temporal lobe theta-band activity during effective anterior thalamus deep brain stimulation in epilepsy,Scherer et al.,2020,NeuroImage,modern method/tool (2020+),https://doi.org/10.1016/j.neuroimage.2020.116967,medium,auto-added 2020+ via OpenAlex; verify
Faria_2020,Faria et al. (2020),Multimodal <scp>MRI</scp> assessment for first episode psychosis: A major change in the thalamus and an efficient stratification of a subgroup,Faria et al.,2020,Human Brain Mapping,modern method/tool (2020+),https://doi.org/10.1002/hbm.25276,medium,auto-added 2020+ via OpenAlex; verify
Konu_2020,Konu et al. (2020),A role for the ventromedial prefrontal cortex in self-generated episodic social cognition,Konu et al.,2020,NeuroImage,modern method/tool (2020+),https://doi.org/10.1016/j.neuroimage.2020.116977,medium,auto-added 2020+ via OpenAlex; verify
Hildebrandt_2020,Hildebrandt et al. (2020),Brain activation during social cognition predicts everyday perspective-taking: A combined fMRI and ecological momentary assessment study of the social brain,Hildebrandt et al.,2020,NeuroImage,modern method/tool (2020+),https://doi.org/10.1016/j.neuroimage.2020.117624,medium,auto-added 2020+ via OpenAlex; verify
Balgova_2022,Balgova et al. (2022),The role of the ventrolateral anterior temporal lobes in social cognition,Balgova et al.,2022,Human Brain Mapping,modern method/tool (2020+),https://doi.org/10.1002/hbm.25976,medium,auto-added 2020+ via OpenAlex; verify
Han_2020,Han et al. (2020),Automatic cerebellum anatomical parcellation using U-Net with locally constrained optimization,Han et al.,2020,NeuroImage,modern method/tool (2020+),https://doi.org/10.1016/j.neuroimage.2020.116819,medium,auto-added 2020+ via OpenAlex; verify
Boillat_2020,Boillat et al. (2020),Whole-body somatotopic maps in the cerebellum revealed with 7T fMRI,Boillat et al.,2020,NeuroImage,modern method/tool (2020+),https://doi.org/10.1016/j.neuroimage.2020.116624,medium,auto-added 2020+ via OpenAlex; verify
Faber_2022,Faber et al. (2022),CerebNet: A fast and reliable deep-learning pipeline for detailed cerebellum sub-segmentation,Faber et al.,2022,NeuroImage,modern method/tool (2020+),https://doi.org/10.1016/j.neuroimage.2022.119703,medium,auto-added 2020+ via OpenAlex; verify
Cassady_2020,Cassady et al. (2020),Network segregation varies with neural distinctiveness in sensorimotor cortex,Cassady et al.,2020,NeuroImage,modern method/tool (2020+),https://doi.org/10.1016/j.neuroimage.2020.116663,medium,auto-added 2020+ via OpenAlex; verify
Qin_2021,Qin et al. (2021),Higher-order sensorimotor circuit of the brain's global network supports human consciousness,Qin et al.,2021,NeuroImage,modern method/tool (2020+),https://doi.org/10.1016/j.neuroimage.2021.117850,medium,auto-added 2020+ via OpenAlex; verify
Kearney_2023,Kearney et al. (2023),How the body remembers: Examining the default mode and sensorimotor networks during moral injury autobiographical memory retrieval in PTSD,Kearney et al.,2023,NeuroImage Clinical,modern method/tool (2020+),https://doi.org/10.1016/j.nicl.2023.103426,medium,auto-added 2020+ via OpenAlex; verify
Hiscox_2020,Hiscox et al. (2020),Standard‐space atlas of the viscoelastic properties of the human brain,Hiscox et al.,2020,Human Brain Mapping,modern method/tool (2020+),https://doi.org/10.1002/hbm.25192,medium,auto-added 2020+ via OpenAlex; verify
Capilla_2022,Capilla et al. (2022),The natural frequencies of the resting human brain: An MEG-based atlas,Capilla et al.,2022,NeuroImage,modern method/tool (2020+),https://doi.org/10.1016/j.neuroimage.2022.119373,medium,auto-added 2020+ via OpenAlex; verify
Chen_2022,Chen et al. (2022),A 4D infant brain volumetric atlas based on the UNC/UMN baby connectome project (BCP) cohort,Chen et al.,2022,NeuroImage,modern method/tool (2020+),https://doi.org/10.1016/j.neuroimage.2022.119097,medium,auto-added 2020+ via OpenAlex; verify
Fan_2020_2,Fan et al. (2020),Childhood trauma is associated with elevated anhedonia and altered core reward circuitry in major depression patients and controls,Fan et al.,2020,Human Brain Mapping,modern method/tool (2020+),https://doi.org/10.1002/hbm.25222,medium,auto-added 2020+ via OpenAlex; verify
Loureiro_2020,Loureiro et al. (2020),Modulation of amygdala reactivity following rapidly acting interventions for major depression,Loureiro et al.,2020,Human Brain Mapping,modern method/tool (2020+),https://doi.org/10.1002/hbm.24895,medium,auto-added 2020+ via OpenAlex; verify
Suffel_2020,Suffel et al. (2020),Feeling addressed! The neural processing of social communicative cues in patients with major depression,Suffel et al.,2020,Human Brain Mapping,modern method/tool (2020+),https://doi.org/10.1002/hbm.25027,medium,auto-added 2020+ via OpenAlex; verify
Fitzgibbon_2020,Fitzgibbon et al. (2020),The developing Human Connectome Project (dHCP) automated resting-state functional processing framework for newborn infants,Fitzgibbon et al.,2020,NeuroImage,modern method/tool (2020+),https://doi.org/10.1016/j.neuroimage.2020.117303,medium,auto-added 2020+ via OpenAlex; verify
Juttukonda_2021,Juttukonda et al. (2021),Characterizing cerebral hemodynamics across the adult lifespan with arterial spin labeling MRI data from the Human Connectome Project-Aging,Juttukonda et al.,2021,NeuroImage,modern method/tool (2020+),https://doi.org/10.1016/j.neuroimage.2021.117807,medium,auto-added 2020+ via OpenAlex; verify
Tozzi_2020,Tozzi et al. (2020),The human connectome project for disordered emotional states: Protocol and rationale for a research domain criteria study of brain connectivity in young adult anxiety and depression,Tozzi et al.,2020,NeuroImage,modern method/tool (2020+),https://doi.org/10.1016/j.neuroimage.2020.116715,medium,auto-added 2020+ via OpenAlex; verify
Chen_2021_3,Chen et al. (2021),Decompose quantitative susceptibility mapping (QSM) to sub-voxel diamagnetic and paramagnetic components based on gradient-echo MRI data,Chen et al.,2021,NeuroImage,modern method/tool (2020+),https://doi.org/10.1016/j.neuroimage.2021.118477,medium,auto-added 2020+ via OpenAlex; verify
Wang_2022,Wang et al. (2022),3D Echo Planar Time-resolved Imaging (3D-EPTI) for ultrafast multi-parametric quantitative MRI,Wang et al.,2022,NeuroImage,modern method/tool (2020+),https://doi.org/10.1016/j.neuroimage.2022.118963,medium,auto-added 2020+ via OpenAlex; verify
Grussu_2020,Grussu et al. (2020),Multi-parametric quantitative in vivo spinal cord MRI with unified signal readout and image denoising,Grussu et al.,2020,NeuroImage,modern method/tool (2020+),https://doi.org/10.1016/j.neuroimage.2020.116884,medium,auto-added 2020+ via OpenAlex; verify
Hu_2023,Hu et al. (2023),Deep learning-assisted identification and quantification of aneurysmal subarachnoid hemorrhage in non-contrast CT scans: Development and external validation of Hybrid 2D/3D UNet,Hu et al.,2023,NeuroImage,modern method/tool (2020+),https://doi.org/10.1016/j.neuroimage.2023.120321,medium,auto-added 2020+ via OpenAlex; verify
Park_2020,Park et al. (2020),Signal diffusion along connectome gradients and inter-hub routing differentially contribute to dynamic human brain function,Park et al.,2020,NeuroImage,modern method/tool (2020+),https://doi.org/10.1016/j.neuroimage.2020.117429,medium,auto-added 2020+ via OpenAlex; verify
Zhuang_2021,Zhuang et al. (2021),Segregating domain-general from emotional context-specific inhibitory control systems - ventral striatum and orbitofrontal cortex serve as emotion-cognition integration hubs,Zhuang et al.,2021,NeuroImage,modern method/tool (2020+),https://doi.org/10.1016/j.neuroimage.2021.118269,medium,auto-added 2020+ via OpenAlex; verify
Kawabata_2022,Kawabata et al. (2022),Functional connector hubs in the cerebellum,Kawabata et al.,2022,NeuroImage,modern method/tool (2020+),https://doi.org/10.1016/j.neuroimage.2022.119263,medium,auto-added 2020+ via OpenAlex; verify
Raj_2020,Raj et al. (2020),Spectral graph theory of brain oscillations,Raj et al.,2020,Human Brain Mapping,modern method/tool (2020+),https://doi.org/10.1002/hbm.24991,medium,auto-added 2020+ via OpenAlex; verify
Verma_2022,Verma et al. (2022),Spectral graph theory of brain oscillations—-Revisited and improved,Verma et al.,2022,NeuroImage,modern method/tool (2020+),https://doi.org/10.1016/j.neuroimage.2022.118919,medium,auto-added 2020+ via OpenAlex; verify
Luo_2021,Luo et al. (2021),"Within node connectivity changes, not simply edge changes, influence graph theory measures in functional connectivity studies of the brain",Luo et al.,2021,NeuroImage,modern method/tool (2020+),https://doi.org/10.1016/j.neuroimage.2021.118332,medium,auto-added 2020+ via OpenAlex; verify
Rebsamen_2020,Rebsamen et al. (2020),Direct cortical thickness estimation using deep learning‐based anatomy segmentation and cortex parcellation,Rebsamen et al.,2020,Human Brain Mapping,modern method/tool (2020+),https://doi.org/10.1002/hbm.25159,medium,auto-added 2020+ via OpenAlex; verify
LpezLpez_2020,LpezLpez et al. (2020),From Coarse to Fine-Grained Parcellation of the Cortical Surface Using a Fiber-Bundle Atlas,LpezLpez et al.,2020,Frontiers in Neuroinformatics,modern method/tool (2020+),https://doi.org/10.3389/fninf.2020.00032,medium,auto-added 2020+ via OpenAlex; verify
Lewis_2021,Lewis et al. (2021),A sub+cortical fMRI‐based surface parcellation,Lewis et al.,2021,Human Brain Mapping,modern method/tool (2020+),https://doi.org/10.1002/hbm.25675,medium,auto-added 2020+ via OpenAlex; verify
Ligeois_2020,Ligeois et al. (2020),Revisiting correlation-based functional connectivity and its relationship with structural connectivity,Ligeois et al.,2020,Network Neuroscience,modern method/tool (2020+),https://doi.org/10.1162/netn_a_00166,medium,auto-added 2020+ via OpenAlex; verify
Momi_2020,Momi et al. (2020),Network-level macroscale structural connectivity predicts propagation of transcranial magnetic stimulation,Momi et al.,2020,NeuroImage,modern method/tool (2020+),https://doi.org/10.1016/j.neuroimage.2020.117698,medium,auto-added 2020+ via OpenAlex; verify
Griffis_2020,Griffis et al. (2020),Damage to the shortest structural paths between brain regions is associated with disruptions of resting-state functional connectivity after stroke,Griffis et al.,2020,NeuroImage,modern method/tool (2020+),https://doi.org/10.1016/j.neuroimage.2020.116589,medium,auto-added 2020+ via OpenAlex; verify
Eckstein_2021,Eckstein et al. (2021),Improved susceptibility weighted imaging at ultra-high field using bipolar multi-echo acquisition and optimized image processing: CLEAR-SWI,Eckstein et al.,2021,NeuroImage,modern method/tool (2020+),https://doi.org/10.1016/j.neuroimage.2021.118175,medium,auto-added 2020+ via OpenAlex; verify
Wang_2023,Wang et al. (2023),An automatic interpretable deep learning pipeline for accurate Parkinson's disease diagnosis using quantitative susceptibility mapping and <scp>T1‐weighted images</scp>,Wang et al.,2023,Human Brain Mapping,modern method/tool (2020+),https://doi.org/10.1002/hbm.26399,medium,auto-added 2020+ via OpenAlex; verify
Beliveau_2021,Beliveau et al. (2021),Automated segmentation of deep brain nuclei using convolutional neural networks and susceptibility weighted imaging,Beliveau et al.,2021,Human Brain Mapping,modern method/tool (2020+),https://doi.org/10.1002/hbm.25604,medium,auto-added 2020+ via OpenAlex; verify
Tierney_2020,Tierney et al. (2020),Mouth magnetoencephalography: A unique perspective on the human hippocampus,Tierney et al.,2020,NeuroImage,modern method/tool (2020+),https://doi.org/10.1016/j.neuroimage.2020.117443,medium,auto-added 2020+ via OpenAlex; verify
Ren_2020,Ren et al. (2020),The function of the hippocampus and middle temporal gyrus in forming new associations and concepts during the processing of novelty and usefulness features in creative designs,Ren et al.,2020,NeuroImage,modern method/tool (2020+),https://doi.org/10.1016/j.neuroimage.2020.116751,medium,auto-added 2020+ via OpenAlex; verify
Eijk_2020,Eijk et al. (2020),Region-specific sex differences in the hippocampus,Eijk et al.,2020,NeuroImage,modern method/tool (2020+),https://doi.org/10.1016/j.neuroimage.2020.116781,medium,auto-added 2020+ via OpenAlex; verify
Camacho_2023,Camacho et al. (2023),Explainable classification of Parkinson’s disease using deep learning trained on a large multi-center database of T1-weighted MRI datasets,Camacho et al.,2023,NeuroImage Clinical,modern method/tool (2020+),https://doi.org/10.1016/j.nicl.2023.103405,medium,auto-added 2020+ via OpenAlex; verify
Tik_2022,Tik et al. (2022),Acute TMS/fMRI response explains offline TMS network effects – An interleaved TMS-fMRI study,Tik et al.,2022,NeuroImage,modern method/tool (2020+),https://doi.org/10.1016/j.neuroimage.2022.119833,medium,auto-added 2020+ via OpenAlex; verify
Clark_2020,Clark et al. (2020),Does hippocampal volume explain performance differences on hippocampal-dependant tasks?,Clark et al.,2020,NeuroImage,modern method/tool (2020+),https://doi.org/10.1016/j.neuroimage.2020.117211,medium,auto-added 2020+ via OpenAlex; verify
Ji_2020,Ji et al. (2020),Genes associated with gray matter volume alterations in schizophrenia,Ji et al.,2020,NeuroImage,modern method/tool (2020+),https://doi.org/10.1016/j.neuroimage.2020.117526,medium,auto-added 2020+ via OpenAlex; verify
Li_2023,Li et al. (2023),Age-dependent changes in brain iron deposition and volume in deep gray matter nuclei using quantitative susceptibility mapping,Li et al.,2023,NeuroImage,modern method/tool (2020+),https://doi.org/10.1016/j.neuroimage.2023.119923,medium,auto-added 2020+ via OpenAlex; verify
